sample.id	cluster.id	cluster.name		
ABVH	39	BrazilianBioethanol
ABVK	24	Wine_European_clust3
ABVM	89	Wine_European
ABVT	44	Wine_European_clust2
ABVV	44	Wine_European_clust2
ACAA	44	Wine_European_clust2
ACAB	44	Wine_European_clust2
ACAC	44	Wine_European_clust2
ACAD	44	Wine_European_clust2
ACAE	89	Wine_European
ACAF	89	Wine_European
ACAH	40	Wine_AustraliaNZFranceGeorgia
ACAI	40	Wine_AustraliaNZFranceGeorgia
ACAK	40	Wine_AustraliaNZFranceGeorgia
ACAL	40	Wine_AustraliaNZFranceGeorgia
ACAM	44	Wine_European_clust2
ACAN	44	Wine_European_clust2
ACAP	44	Wine_European_clust2
ACAQ	44	Wine_European_clust2
ACAR	44	Wine_European_clust2
ACAS	44	Wine_European_clust2
ACAT	44	Wine_European_clust2
ACAV	44	Wine_European_clust2
ACBA	40	Wine_AustraliaNZFranceGeorgia
ACBB	44	Wine_European_clust2
ACBC	44	Wine_European_clust2
ACBD	44	Wine_European_clust2
ACBE	44	Wine_European_clust2
ACBF	51	MixedOrigins_ClinicalBakery
ACBG	89	Wine_European
ACBH	89	Wine_European
ACBI	89	Wine_European
ACBK	41	closetoS288C
ACBL	82	Wild_Germany_Insect
ACBM	82	Wild_Germany_Insect
ACBN	8	Beer_European_clust2
ACBR	13	Beer_European_UK
ACCC	25	Tree_EcuadorBrazil
ACCD	25	Tree_EcuadorBrazil
ACCE	25	Tree_EcuadorBrazil
ACCF	25	Tree_EcuadorBrazil
ACCG	25	Tree_EcuadorBrazil
ACCH	25	Tree_EcuadorBrazil
ACCI	25	Tree_EcuadorBrazil
ACCL	33	Tree_MediterraneanOak
ACCM	89	Wine_European
ACCN	48	CHN_IV_ChinaFarEast
ACCP	4	CHN_VI/VII_JapanChina
ACCQ	54	CHN_X
ACCR	48	CHN_IV_ChinaFarEast
ACCS	48	CHN_IV_ChinaFarEast
ACCT	59	Asian_Islands
ACCV	59	Asian_Islands
ACDA	59	Asian_Islands
ACDB	12	Wild_Japan_TreeQuercus
ACDC	71	Tree_Russia
ACDD	71	Tree_Russia
ACDE	71	Tree_Russia
ACDF	71	Tree_Russia
ACDG	71	Tree_Russia
ACDH	71	Tree_Russia
ACDI	71	Tree_Russia
ACDK	81	Sake
ACDL	48	CHN_IV_ChinaFarEast
ACDM	89	Wine_European
ACDN	3	Wild_America
ACDP	75	Tree_NorthCarolina
ACDQ	3	Wild_America
ACDR	89	Wine_European
ACDS	89	Wine_European
ACDT	68	Alpechin(oliveoil)
ACDV	89	Wine_European
ACEA	89	Wine_European
ACEB	89	Wine_European
ACEC	89	Wine_European
ACED	89	Wine_European
ACEE	89	Wine_European
ACEF	89	Wine_European
ACEG	84	Taiwanese_SoilHubaiNantou
ACEH	4	CHN_VI/VII_JapanChina
ACEI	84	Taiwanese_SoilHubaiNantou
ACEK	85	Asian_fermentation
ACEL	85	Asian_fermentation
ACEM	81	Sake
ACEN	89	Wine_European
ACEP	85	Asian_fermentation
ACEQ	26	African_PalmWine_NigeriaGhana
ACER	69	Beer_Africa
ACES	69	Beer_Africa
ACET	69	Beer_Africa
ACEV	37	Mantou_clust7_Fermentation
ACFA	23	African_PalmWine_Djibouti
ACFB	44	Wine_European_clust2
ACFC	73	Beer_clust1
ACFD	77	Beer_clust3
ACFE	24	Wine_European_clust3
ACFF	28	Beer_European_clust4
ACFG	13	Beer_European_UK
ACFH	13	Beer_European_UK
ACFI	80	Beer_clust2
ACFM	77	Beer_clust3
ACFN	80	Beer_clust2
ACFP	19	MixedOrigins
ACFQ	89	Wine_European
ACFR	89	Wine_European
ACFS	89	Wine_European
ACFT	89	Wine_European
ACFV	89	Wine_European
ACGB	78	CHN_VIII_tree
ACGC	7	Beer_European_BelgiumGermany_clust2
ACGD	68	Alpechin(oliveoil)
ACGE	68	Alpechin(oliveoil)
ACGG	85	Asian_fermentation
ACGH	70	Asian_qingkejiu
ACGI	85	Asian_fermentation
ACGK	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
ACGL	37	Mantou_clust7_Fermentation
ACGN	85	Asian_fermentation
ACGP	85	Asian_fermentation
ACGQ	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
ACGR	85	Asian_fermentation
ACGS	89	Wine_European
ACGT	89	Wine_European
ACGV	89	Wine_European
ACHA	89	Wine_European
ACHB	89	Wine_European
ACHC	89	Wine_European
ACHD	89	Wine_European
ACHE	89	Wine_European
ACHF	44	Wine_European_clust2
ACHG	51	MixedOrigins_ClinicalBakery
ACHH	51	MixedOrigins_ClinicalBakery
ACHI	19	MixedOrigins
ACHK	80	Beer_clust2
ACHL	83	MixedOrigins_clust4
ACHM	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
ACHN	36	Mosaic_region_uncharacterized_clust2
ACHP	36	Mosaic_region_uncharacterized_clust2
ACHQ	36	Mosaic_region_uncharacterized_clust2
ACHR	51	MixedOrigins_ClinicalBakery
ACHS	43	Human_EuropeSouthAmerica
ACHT	43	Human_EuropeSouthAmerica
ACHV	89	Wine_European
ACIA	89	Wine_European
ACIB	89	Wine_European
ACIC	36	Mosaic_region_uncharacterized_clust2
ACID	36	Mosaic_region_uncharacterized_clust2
ACIE	83	MixedOrigins_clust4
ACIF	36	Mosaic_region_uncharacterized_clust2
ACIG	43	Human_EuropeSouthAmerica
ACIH	43	Human_EuropeSouthAmerica
ACII	43	Human_EuropeSouthAmerica
ACIK	43	Human_EuropeSouthAmerica
ACIL	43	Human_EuropeSouthAmerica
ACIM	31	Human_France_Sboulardiisolates
ACIN	31	Human_France_Sboulardiisolates
ACIP	31	Human_France_Sboulardiisolates
ACIQ	31	Human_France_Sboulardiisolates
ACIR	31	Human_France_Sboulardiisolates
ACIS	31	Human_France_Sboulardiisolates
ACIT	31	Human_France_Sboulardiisolates
ACIV	31	Human_France_Sboulardiisolates
ACKA	43	Human_EuropeSouthAmerica
ACKB	31	Human_France_Sboulardiisolates
ACKC	31	Human_France_Sboulardiisolates
ACKD	31	Human_France_Sboulardiisolates
ACKE	31	Human_France_Sboulardiisolates
ACKF	31	Human_France_Sboulardiisolates
ACKG	31	Human_France_Sboulardiisolates
ACKH	31	Human_France_Sboulardiisolates
ACKI	31	Human_France_Sboulardiisolates
ACKK	51	MixedOrigins_ClinicalBakery
